""

"Save Time: 21/06/2015 10:23:06"
"User Name:omcuser"


" "

"Total 202 Records"

"Resource Name","Collection Time","Granularity ","Inbound Rate(bit/s)","Outbound Rate(bit/s)","Inbound Bandwidth Utilization(%)","Outbound Bandwidth Utilization(%)"
CR07_BSS_NE40E_X8_A/Eth-Trunk0,16/06/2015 18:00:00 UTC+06:00,1 Hour,1.34G,430.0M,33.44,10.76
CR07_BSS_NE40E_X8_A/Eth-Trunk0,16/06/2015 19:00:00 UTC+06:00,1 Hour,1.44G,483.0M,36.01,12.08
CR07_BSS_NE40E_X8_A/Eth-Trunk0,16/06/2015 20:00:00 UTC+06:00,1 Hour,1.67G,551.0M,41.86,13.78
CR07_BSS_NE40E_X8_A/Eth-Trunk0,16/06/2015 21:00:00 UTC+06:00,1 Hour,1.82G,565.0M,45.43,14.12
CR07_BSS_NE40E_X8_A/Eth-Trunk0,16/06/2015 22:00:00 UTC+06:00,1 Hour,1.91G,537.0M,47.66,13.43
CR07_BSS_NE40E_X8_A/Eth-Trunk0,16/06/2015 23:00:00 UTC+06:00,1 Hour,1.97G,456.0M,49.15,11.40
CR07_BSS_NE40E_X8_A/Eth-Trunk0,17/06/2015 00:00:00 UTC+06:00,1 Hour,1.88G,366.0M,46.89,9.15
CR07_BSS_NE40E_X8_A/Eth-Trunk0,17/06/2015 01:00:00 UTC+06:00,1 Hour,1.4G,233.0M,34.90,5.82
CR07_BSS_NE40E_X8_A/Eth-Trunk0,17/06/2015 02:00:00 UTC+06:00,1 Hour,907.0M,140.0M,22.67,3.49
CR07_BSS_NE40E_X8_A/Eth-Trunk0,17/06/2015 03:00:00 UTC+06:00,1 Hour,533.0M,85.2M,13.33,2.13
CR07_BSS_NE40E_X8_A/Eth-Trunk0,17/06/2015 04:00:00 UTC+06:00,1 Hour,303.0M,62.0M,7.56,1.55
CR07_BSS_NE40E_X8_A/Eth-Trunk0,17/06/2015 05:00:00 UTC+06:00,1 Hour,277.0M,67.3M,6.92,1.68
CR07_BSS_NE40E_X8_A/Eth-Trunk0,17/06/2015 06:00:00 UTC+06:00,1 Hour,384.0M,102.0M,9.61,2.54
CR07_BSS_NE40E_X8_A/Eth-Trunk0,17/06/2015 07:00:00 UTC+06:00,1 Hour,591.0M,166.0M,14.78,4.14
CR07_BSS_NE40E_X8_A/Eth-Trunk0,17/06/2015 08:00:00 UTC+06:00,1 Hour,817.0M,227.0M,20.42,5.68
CR07_BSS_NE40E_X8_A/Eth-Trunk0,17/06/2015 09:00:00 UTC+06:00,1 Hour,1.04G,305.0M,25.91,7.62
CR07_BSS_NE40E_X8_A/Eth-Trunk0,17/06/2015 10:00:00 UTC+06:00,1 Hour,1.22G,372.0M,30.46,9.30
CR07_BSS_NE40E_X8_A/Eth-Trunk0,17/06/2015 11:00:00 UTC+06:00,1 Hour,1.34G,403.0M,33.61,10.07
CR07_BSS_NE40E_X8_A/Eth-Trunk0,17/06/2015 12:00:00 UTC+06:00,1 Hour,1.39G,409.0M,34.86,10.23
CR07_BSS_NE40E_X8_A/Eth-Trunk0,17/06/2015 13:00:00 UTC+06:00,1 Hour,1.39G,416.0M,34.67,10.39
CR07_BSS_NE40E_X8_A/Eth-Trunk0,17/06/2015 14:00:00 UTC+06:00,1 Hour,1.36G,409.0M,34.06,10.23
CR07_BSS_NE40E_X8_A/Eth-Trunk0,17/06/2015 15:00:00 UTC+06:00,1 Hour,1.43G,418.0M,35.63,10.45
CR07_BSS_NE40E_X8_A/Eth-Trunk0,17/06/2015 16:00:00 UTC+06:00,1 Hour,1.39G,411.0M,34.76,10.26
CR07_BSS_NE40E_X8_A/Eth-Trunk0,17/06/2015 17:00:00 UTC+06:00,1 Hour,1.28G,400.0M,32.05,10.00
CR07_BSS_NE40E_X8_A/Eth-Trunk0,17/06/2015 18:00:00 UTC+06:00,1 Hour,1.3G,428.0M,32.57,10.70
CR07_BSS_NE40E_X8_A/Eth-Trunk0,17/06/2015 19:00:00 UTC+06:00,1 Hour,1.39G,474.0M,34.64,11.85
CR07_BSS_NE40E_X8_A/Eth-Trunk0,17/06/2015 20:00:00 UTC+06:00,1 Hour,1.61G,538.0M,40.19,13.44
CR07_BSS_NE40E_X8_A/Eth-Trunk0,17/06/2015 21:00:00 UTC+06:00,1 Hour,1.74G,548.0M,43.42,13.71
CR07_BSS_NE40E_X8_A/Eth-Trunk0,17/06/2015 22:00:00 UTC+06:00,1 Hour,1.85G,520.0M,46.29,13.00
CR07_BSS_NE40E_X8_A/Eth-Trunk0,17/06/2015 23:00:00 UTC+06:00,1 Hour,1.95G,450.0M,48.76,11.24
CR07_BSS_NE40E_X8_A/Eth-Trunk0,18/06/2015 00:00:00 UTC+06:00,1 Hour,1.88G,364.0M,47.07,9.09
CR07_BSS_NE40E_X8_A/Eth-Trunk0,18/06/2015 01:00:00 UTC+06:00,1 Hour,1.39G,238.0M,34.76,5.95
CR07_BSS_NE40E_X8_A/Eth-Trunk0,18/06/2015 02:00:00 UTC+06:00,1 Hour,866.0M,141.0M,21.66,3.51
CR07_BSS_NE40E_X8_A/Eth-Trunk0,18/06/2015 03:00:00 UTC+06:00,1 Hour,519.0M,86.0M,12.96,2.15
CR07_BSS_NE40E_X8_A/Eth-Trunk0,18/06/2015 04:00:00 UTC+06:00,1 Hour,294.0M,63.1M,7.36,1.58
CR07_BSS_NE40E_X8_A/Eth-Trunk0,18/06/2015 05:00:00 UTC+06:00,1 Hour,285.0M,70.7M,7.13,1.77
CR07_BSS_NE40E_X8_A/Eth-Trunk0,18/06/2015 06:00:00 UTC+06:00,1 Hour,405.0M,106.0M,10.11,2.64
CR07_BSS_NE40E_X8_A/Eth-Trunk0,18/06/2015 07:00:00 UTC+06:00,1 Hour,585.0M,169.0M,14.62,4.22
CR07_BSS_NE40E_X8_A/Eth-Trunk0,18/06/2015 08:00:00 UTC+06:00,1 Hour,847.0M,239.0M,21.19,5.97
CR07_BSS_NE40E_X8_A/Eth-Trunk0,18/06/2015 09:00:00 UTC+06:00,1 Hour,1.05G,313.0M,26.28,7.84
CR07_BSS_NE40E_X8_A/Eth-Trunk0,18/06/2015 10:00:00 UTC+06:00,1 Hour,1.21G,375.0M,30.18,9.37
CR07_BSS_NE40E_X8_A/Eth-Trunk0,18/06/2015 11:00:00 UTC+06:00,1 Hour,1.32G,409.0M,33.01,10.23
CR07_BSS_NE40E_X8_A/Eth-Trunk0,18/06/2015 12:00:00 UTC+06:00,1 Hour,1.37G,410.0M,34.27,10.26
CR07_BSS_NE40E_X8_A/Eth-Trunk0,18/06/2015 13:00:00 UTC+06:00,1 Hour,1.39G,420.0M,34.81,10.51
CR07_BSS_NE40E_X8_A/Eth-Trunk0,18/06/2015 14:00:00 UTC+06:00,1 Hour,1.33G,408.0M,33.31,10.20
CR07_BSS_NE40E_X8_A/Eth-Trunk0,18/06/2015 15:00:00 UTC+06:00,1 Hour,1.38G,405.0M,34.42,10.13
CR07_BSS_NE40E_X8_A/Eth-Trunk0,18/06/2015 16:00:00 UTC+06:00,1 Hour,1.4G,416.0M,34.95,10.39
CR07_BSS_NE40E_X8_A/Eth-Trunk0,18/06/2015 17:00:00 UTC+06:00,1 Hour,1.3G,401.0M,32.56,10.03
CR07_BSS_NE40E_X8_A/Eth-Trunk0,18/06/2015 18:00:00 UTC+06:00,1 Hour,1.33G,417.0M,33.37,10.41
CR07_BSS_NE40E_X8_A/Eth-Trunk0,18/06/2015 19:00:00 UTC+06:00,1 Hour,1.33G,465.0M,33.29,11.64
CR07_BSS_NE40E_X8_A/Eth-Trunk0,18/06/2015 20:00:00 UTC+06:00,1 Hour,1.45G,519.0M,36.24,12.98
CR07_BSS_NE40E_X8_A/Eth-Trunk0,18/06/2015 21:00:00 UTC+06:00,1 Hour,1.3G,392.0M,32.44,9.80
CR07_BSS_NE40E_X8_A/Eth-Trunk0,18/06/2015 22:00:00 UTC+06:00,1 Hour,1.51G,444.0M,37.73,11.11
CR07_BSS_NE40E_X8_A/Eth-Trunk0,18/06/2015 23:00:00 UTC+06:00,1 Hour,1.63G,412.0M,40.87,10.31
CR07_BSS_NE40E_X8_A/Eth-Trunk0,19/06/2015 00:00:00 UTC+06:00,1 Hour,1.6G,347.0M,40.11,8.68
