""

"Save Time: 21/06/2015 10:23:23"
"User Name:omcuser"


" "

"Total 288 Records"

"Resource Name","Collection Time","Granularity ","Inbound Rate(bit/s)","Outbound Rate(bit/s)","Inbound Bandwidth Utilization(%)","Outbound Bandwidth Utilization(%)","Max Rate(bit/s)","Max Bandwidth Utilization(%)","Inbound Discarded Packet(packet)","Outbound Discarded Packet(packet)","Bandwidth(bit/s)","Interface Availability(%)"
_MM01-C-CE-RT-1-B/Eth-Trunk0,21/06/2015 08:45:00 UTC+06:00,5 Min,235.0M,320.0M,5.88,8.00,320.0M,8.00,0,0,4.0G,100.00
_MM01-C-CE-RT-1-B/Eth-Trunk0,21/06/2015 08:50:00 UTC+06:00,5 Min,254.0M,341.0M,6.36,8.52,341.0M,8.52,0,0,4.0G,100.00
_MM01-C-CE-RT-1-B/Eth-Trunk0,21/06/2015 08:55:00 UTC+06:00,5 Min,270.0M,358.0M,6.74,8.96,358.0M,8.96,0,0,4.0G,100.00
_MM01-C-CE-RT-1-B/Eth-Trunk0,21/06/2015 09:00:00 UTC+06:00,5 Min,279.0M,365.0M,6.98,9.12,365.0M,9.12,0,0,4.0G,100.00
_MM01-C-CE-RT-1-B/Eth-Trunk0,21/06/2015 09:05:00 UTC+06:00,5 Min,292.0M,376.0M,7.29,9.41,376.0M,9.41,0,0,4.0G,100.00
_MM01-C-CE-RT-1-B/Eth-Trunk0,21/06/2015 09:10:00 UTC+06:00,5 Min,283.0M,379.0M,7.07,9.49,379.0M,9.49,0,0,4.0G,100.00
_MM01-C-CE-RT-1-B/Eth-Trunk0,21/06/2015 09:15:00 UTC+06:00,5 Min,300.0M,399.0M,7.49,9.98,399.0M,9.98,0,0,4.0G,100.00
_MM01-C-CE-RT-1-B/Eth-Trunk0,21/06/2015 09:20:00 UTC+06:00,5 Min,307.0M,407.0M,7.67,10.18,407.0M,10.18,0,0,4.0G,100.00
_MM01-C-CE-RT-1-B/Eth-Trunk0,21/06/2015 09:25:00 UTC+06:00,5 Min,302.0M,410.0M,7.56,10.24,410.0M,10.24,0,0,4.0G,100.00
_MM01-C-CE-RT-1-B/Eth-Trunk0,21/06/2015 09:30:00 UTC+06:00,5 Min,308.0M,420.0M,7.71,10.49,420.0M,10.49,0,0,4.0G,100.00
_MM01-C-CE-RT-1-B/Eth-Trunk0,21/06/2015 09:35:00 UTC+06:00,5 Min,306.0M,419.0M,7.66,10.47,419.0M,10.47,0,0,4.0G,100.00
_MM01-C-CE-RT-1-B/Eth-Trunk0,21/06/2015 09:40:00 UTC+06:00,5 Min,307.0M,418.0M,7.67,10.46,418.0M,10.46,0,0,4.0G,100.00
_MM01-C-CE-RT-1-B/Eth-Trunk0,21/06/2015 09:45:00 UTC+06:00,5 Min,324.0M,426.0M,8.09,10.65,426.0M,10.65,0,0,4.0G,100.00
_MM01-C-CE-RT-1-B/Eth-Trunk0,21/06/2015 09:50:00 UTC+06:00,5 Min,336.0M,437.0M,8.39,10.94,437.0M,10.94,0,0,4.0G,100.00
_MM01-C-CE-RT-1-B/Eth-Trunk0,21/06/2015 09:55:00 UTC+06:00,5 Min,335.0M,438.0M,8.37,10.95,438.0M,10.95,0,0,4.0G,100.00
_MM01-C-CE-RT-1-B/Eth-Trunk0,21/06/2015 10:00:00 UTC+06:00,5 Min,334.0M,444.0M,8.35,11.11,444.0M,11.11,0,0,4.0G,100.00
_MM01-C-CE-RT-1-B/Eth-Trunk0,21/06/2015 10:05:00 UTC+06:00,5 Min,341.0M,449.0M,8.53,11.23,449.0M,11.23,0,0,4.0G,100.00
_MM01-C-CE-RT-1-B/Eth-Trunk0,21/06/2015 10:10:00 UTC+06:00,5 Min,355.0M,462.0M,8.88,11.56,462.0M,11.56,0,0,4.0G,100.00
_MM01-C-CE-RT-1-B/Eth-Trunk0,21/06/2015 10:15:00 UTC+06:00,5 Min,352.0M,465.0M,8.79,11.62,465.0M,11.62,0,0,4.0G,100.00
_MM01-C-CE-RT-1-B/Eth-Trunk0,21/06/2015 10:20:00 UTC+06:00,5 Min,352.0M,468.0M,8.80,11.70,468.0M,11.70,0,0,4.0G,100.00


" "

"Total 288 Records"

"Resource Name","Collection Time","Granularity ","Inbound Rate(bit/s)","Outbound Rate(bit/s)","Inbound Bandwidth Utilization(%)","Outbound Bandwidth Utilization(%)"
CR07_BSS_NE40E_X8_B/Eth-Trunk0,20/06/2015 10:25:00 UTC+06:00,5 Min,331.0M,1.14G,8.28,28.52
CR07_BSS_NE40E_X8_B/Eth-Trunk0,20/06/2015 10:30:00 UTC+06:00,5 Min,342.0M,1.15G,8.55,28.87
CR07_BSS_NE40E_X8_B/Eth-Trunk0,20/06/2015 10:35:00 UTC+06:00,5 Min,348.0M,1.16G,8.71,28.93
CR07_BSS_NE40E_X8_B/Eth-Trunk0,20/06/2015 10:40:00 UTC+06:00,5 Min,351.0M,1.16G,8.78,29.05
CR07_BSS_NE40E_X8_B/Eth-Trunk0,20/06/2015 10:45:00 UTC+06:00,5 Min,357.0M,1.2G,8.93,30.08
CR07_BSS_NE40E_X8_B/Eth-Trunk0,20/06/2015 10:50:00 UTC+06:00,5 Min,364.0M,1.22G,9.09,30.50
CR07_BSS_NE40E_X8_B/Eth-Trunk0,20/06/2015 10:55:00 UTC+06:00,5 Min,369.0M,1.24G,9.23,30.96
CR07_BSS_NE40E_X8_B/Eth-Trunk0,20/06/2015 11:00:00 UTC+06:00,5 Min,369.0M,1.26G,9.21,31.53
CR07_BSS_NE40E_X8_B/Eth-Trunk0,20/06/2015 11:05:00 UTC+06:00,5 Min,375.0M,1.3G,9.39,32.54
CR07_BSS_NE40E_X8_B/Eth-Trunk0,20/06/2015 11:10:00 UTC+06:00,5 Min,379.0M,1.32G,9.47,33.04
CR07_BSS_NE40E_X8_B/Eth-Trunk0,20/06/2015 11:15:00 UTC+06:00,5 Min,386.0M,1.35G,9.65,33.68
CR07_BSS_NE40E_X8_B/Eth-Trunk0,20/06/2015 11:20:00 UTC+06:00,5 Min,394.0M,1.36G,9.85,34.04
CR07_BSS_NE40E_X8_B/Eth-Trunk0,20/06/2015 11:25:00 UTC+06:00,5 Min,393.0M,1.37G,9.84,34.21
CR07_BSS_NE40E_X8_B/Eth-Trunk0,20/06/2015 11:30:00 UTC+06:00,5 Min,399.0M,1.39G,9.99,34.74
CR07_BSS_NE40E_X8_B/Eth-Trunk0,20/06/2015 11:35:00 UTC+06:00,5 Min,400.0M,1.37G,9.99,34.30
CR07_BSS_NE40E_X8_B/Eth-Trunk0,20/06/2015 11:40:00 UTC+06:00,5 Min,403.0M,1.39G,10.08,34.69
CR07_BSS_NE40E_X8_B/Eth-Trunk0,20/06/2015 11:45:00 UTC+06:00,5 Min,404.0M,1.39G,10.11,34.74
CR07_BSS_NE40E_X8_B/Eth-Trunk0,20/06/2015 11:50:00 UTC+06:00,5 Min,404.0M,1.41G,10.11,35.25
CR07_BSS_NE40E_X8_B/Eth-Trunk0,20/06/2015 11:55:00 UTC+06:00,5 Min,400.0M,1.37G,9.99,34.29
CR07_BSS_NE40E_X8_B/Eth-Trunk0,20/06/2015 12:00:00 UTC+06:00,5 Min,401.0M,1.38G,10.01,34.41
CR07_BSS_NE40E_X8_B/Eth-Trunk0,20/06/2015 12:05:00 UTC+06:00,5 Min,410.0M,1.38G,10.26,34.46
CR07_BSS_NE40E_X8_B/Eth-Trunk0,20/06/2015 12:10:00 UTC+06:00,5 Min,411.0M,1.4G,10.28,34.95
CR07_BSS_NE40E_X8_B/Eth-Trunk0,20/06/2015 12:15:00 UTC+06:00,5 Min,411.0M,1.41G,10.28,35.23
CR07_BSS_NE40E_X8_B/Eth-Trunk0,20/06/2015 12:20:00 UTC+06:00,5 Min,408.0M,1.39G,10.19,34.66
CR07_BSS_NE40E_X8_B/Eth-Trunk0,20/06/2015 12:25:00 UTC+06:00,5 Min,407.0M,1.4G,10.17,35.02
CR07_BSS_NE40E_X8_B/Eth-Trunk0,20/06/2015 12:30:00 UTC+06:00,5 Min,410.0M,1.42G,10.24,35.41
CR07_BSS_NE40E_X8_B/Eth-Trunk0,20/06/2015 12:35:00 UTC+06:00,5 Min,408.0M,1.43G,10.21,35.86
CR07_BSS_NE40E_X8_B/Eth-Trunk0,20/06/2015 12:40:00 UTC+06:00,5 Min,409.0M,1.44G,10.22,36.06
CR07_BSS_NE40E_X8_B/Eth-Trunk0,20/06/2015 12:45:00 UTC+06:00,5 Min,408.0M,1.47G,10.19,36.81
CR07_BSS_NE40E_X8_B/Eth-Trunk0,20/06/2015 12:50:00 UTC+06:00,5 Min,401.0M,1.43G,10.03,35.87
CR07_BSS_NE40E_X8_B/Eth-Trunk0,20/06/2015 12:55:00 UTC+06:00,5 Min,391.0M,1.38G,9.79,34.47
CR07_BSS_NE40E_X8_B/Eth-Trunk0,20/06/2015 13:00:00 UTC+06:00,5 Min,387.0M,1.34G,9.68,33.38
CR07_BSS_NE40E_X8_B/Eth-Trunk0,20/06/2015 13:05:00 UTC+06:00,5 Min,381.0M,1.32G,9.51,32.90
CR07_BSS_NE40E_X8_B/Eth-Trunk0,20/06/2015 13:10:00 UTC+06:00,5 Min,367.0M,1.27G,9.18,31.72
CR07_BSS_NE40E_X8_B/Eth-Trunk0,20/06/2015 13:15:00 UTC+06:00,5 Min,356.0M,1.23G,8.90,30.63
CR07_BSS_NE40E_X8_B/Eth-Trunk0,20/06/2015 13:20:00 UTC+06:00,5 Min,349.0M,1.19G,8.73,29.76
CR07_BSS_NE40E_X8_B/Eth-Trunk0,20/06/2015 13:25:00 UTC+06:00,5 Min,345.0M,1.19G,8.63,29.81
CR07_BSS_NE40E_X8_B/Eth-Trunk0,20/06/2015 13:30:00 UTC+06:00,5 Min,342.0M,1.16G,8.55,29.02
CR07_BSS_NE40E_X8_B/Eth-Trunk0,20/06/2015 13:35:00 UTC+06:00,5 Min,354.0M,1.19G,8.84,29.81
CR07_BSS_NE40E_X8_B/Eth-Trunk0,20/06/2015 13:40:00 UTC+06:00,5 Min,364.0M,1.28G,9.11,32.02
CR07_BSS_NE40E_X8_B/Eth-Trunk0,20/06/2015 13:45:00 UTC+06:00,5 Min,369.0M,1.3G,9.21,32.43
CR07_BSS_NE40E_X8_B/Eth-Trunk0,20/06/2015 13:50:00 UTC+06:00,5 Min,386.0M,1.35G,9.64,33.68
CR07_BSS_NE40E_X8_B/Eth-Trunk0,20/06/2015 13:55:00 UTC+06:00,5 Min,394.0M,1.37G,9.84,34.24
CR07_BSS_NE40E_X8_B/Eth-Trunk0,20/06/2015 14:00:00 UTC+06:00,5 Min,399.0M,1.38G,9.97,34.57
CR07_BSS_NE40E_X8_B/Eth-Trunk0,20/06/2015 14:05:00 UTC+06:00,5 Min,402.0M,1.41G,10.04,35.20
CR07_BSS_NE40E_X8_B/Eth-Trunk0,20/06/2015 14:10:00 UTC+06:00,5 Min,403.0M,1.36G,10.07,34.03
CR07_BSS_NE40E_X8_B/Eth-Trunk0,20/06/2015 14:15:00 UTC+06:00,5 Min,407.0M,1.35G,10.18,33.78
CR07_BSS_NE40E_X8_B/Eth-Trunk0,20/06/2015 14:20:00 UTC+06:00,5 Min,408.0M,1.4G,10.21,34.94
CR07_BSS_NE40E_X8_B/Eth-Trunk0,20/06/2015 14:25:00 UTC+06:00,5 Min,400.0M,1.39G,10.00,34.71
CR07_BSS_NE40E_X8_B/Eth-Trunk0,20/06/2015 14:30:00 UTC+06:00,5 Min,404.0M,1.41G,10.11,35.17
CR07_BSS_NE40E_X8_B/Eth-Trunk0,20/06/2015 14:35:00 UTC+06:00,5 Min,411.0M,1.42G,10.27,35.61
CR07_BSS_NE40E_X8_B/Eth-Trunk0,20/06/2015 14:40:00 UTC+06:00,5 Min,407.0M,1.41G,10.18,35.27
CR07_BSS_NE40E_X8_B/Eth-Trunk0,20/06/2015 14:45:00 UTC+06:00,5 Min,406.0M,1.43G,10.16,35.76
CR07_BSS_NE40E_X8_B/Eth-Trunk0,20/06/2015 14:50:00 UTC+06:00,5 Min,411.0M,1.42G,10.27,35.52
CR07_BSS_NE40E_X8_B/Eth-Trunk0,20/06/2015 14:55:00 UTC+06:00,5 Min,408.0M,1.43G,10.21,35.66
CR07_BSS_NE40E_X8_B/Eth-Trunk0,20/06/2015 15:00:00 UTC+06:00,5 Min,412.0M,1.42G,10.30,35.48
CR07_BSS_NE40E_X8_B/Eth-Trunk0,20/06/2015 15:05:00 UTC+06:00,5 Min,418.0M,1.43G,10.45,35.68
CR07_BSS_NE40E_X8_B/Eth-Trunk0,20/06/2015 15:10:00 UTC+06:00,5 Min,414.0M,1.44G,10.35,35.95
CR07_BSS_NE40E_X8_B/Eth-Trunk0,20/06/2015 15:15:00 UTC+06:00,5 Min,413.0M,1.45G,10.33,36.22
CR07_BSS_NE40E_X8_B/Eth-Trunk0,20/06/2015 15:20:00 UTC+06:00,5 Min,415.0M,1.44G,10.38,36.10
CR07_BSS_NE40E_X8_B/Eth-Trunk0,20/06/2015 15:25:00 UTC+06:00,5 Min,415.0M,1.42G,10.37,35.46
CR07_BSS_NE40E_X8_B/Eth-Trunk0,20/06/2015 15:30:00 UTC+06:00,5 Min,411.0M,1.39G,10.26,34.71
CR07_BSS_NE40E_X8_B/Eth-Trunk0,20/06/2015 15:35:00 UTC+06:00,5 Min,412.0M,1.39G,10.29,34.79
CR07_BSS_NE40E_X8_B/Eth-Trunk0,20/06/2015 15:40:00 UTC+06:00,5 Min,418.0M,1.44G,10.44,36.07
CR07_BSS_NE40E_X8_B/Eth-Trunk0,20/06/2015 15:45:00 UTC+06:00,5 Min,417.0M,1.43G,10.42,35.78
CR07_BSS_NE40E_X8_B/Eth-Trunk0,20/06/2015 15:50:00 UTC+06:00,5 Min,420.0M,1.45G,10.49,36.21
CR07_BSS_NE40E_X8_B/Eth-Trunk0,20/06/2015 15:55:00 UTC+06:00,5 Min,420.0M,1.42G,10.51,35.60
CR07_BSS_NE40E_X8_B/Eth-Trunk0,20/06/2015 16:00:00 UTC+06:00,5 Min,414.0M,1.42G,10.35,35.50
CR07_BSS_NE40E_X8_B/Eth-Trunk0,20/06/2015 16:05:00 UTC+06:00,5 Min,408.0M,1.41G,10.21,35.37
CR07_BSS_NE40E_X8_B/Eth-Trunk0,20/06/2015 16:10:00 UTC+06:00,5 Min,410.0M,1.41G,10.25,35.20
CR07_BSS_NE40E_X8_B/Eth-Trunk0,20/06/2015 16:15:00 UTC+06:00,5 Min,406.0M,1.4G,10.16,35.09
CR07_BSS_NE40E_X8_B/Eth-Trunk0,20/06/2015 16:20:00 UTC+06:00,5 Min,404.0M,1.38G,10.09,34.51
CR07_BSS_NE40E_X8_B/Eth-Trunk0,20/06/2015 16:25:00 UTC+06:00,5 Min,406.0M,1.36G,10.14,33.94
CR07_BSS_NE40E_X8_B/Eth-Trunk0,20/06/2015 16:30:00 UTC+06:00,5 Min,402.0M,1.36G,10.04,34.12
CR07_BSS_NE40E_X8_B/Eth-Trunk0,20/06/2015 16:35:00 UTC+06:00,5 Min,404.0M,1.37G,10.11,34.29
CR07_BSS_NE40E_X8_B/Eth-Trunk0,20/06/2015 16:40:00 UTC+06:00,5 Min,403.0M,1.33G,10.08,33.30
CR07_BSS_NE40E_X8_B/Eth-Trunk0,20/06/2015 16:45:00 UTC+06:00,5 Min,407.0M,1.37G,10.17,34.17
CR07_BSS_NE40E_X8_B/Eth-Trunk0,20/06/2015 16:50:00 UTC+06:00,5 Min,404.0M,1.38G,10.10,34.39
CR07_BSS_NE40E_X8_B/Eth-Trunk0,20/06/2015 16:55:00 UTC+06:00,5 Min,396.0M,1.34G,9.89,33.48
CR07_BSS_NE40E_X8_B/Eth-Trunk0,20/06/2015 17:00:00 UTC+06:00,5 Min,384.0M,1.31G,9.60,32.74
CR07_BSS_NE40E_X8_B/Eth-Trunk0,20/06/2015 17:05:00 UTC+06:00,5 Min,360.0M,1.21G,8.99,30.25
CR07_BSS_NE40E_X8_B/Eth-Trunk0,20/06/2015 17:10:00 UTC+06:00,5 Min,343.0M,1.14G,8.58,28.45
CR07_BSS_NE40E_X8_B/Eth-Trunk0,20/06/2015 17:15:00 UTC+06:00,5 Min,323.0M,1.11G,8.08,27.65
CR07_BSS_NE40E_X8_B/Eth-Trunk0,20/06/2015 17:20:00 UTC+06:00,5 Min,316.0M,1.09G,7.90,27.33
CR07_BSS_NE40E_X8_B/Eth-Trunk0,20/06/2015 17:25:00 UTC+06:00,5 Min,314.0M,1.11G,7.84,27.63
CR07_BSS_NE40E_X8_B/Eth-Trunk0,20/06/2015 17:30:00 UTC+06:00,5 Min,344.0M,1.16G,8.60,29.08
CR07_BSS_NE40E_X8_B/Eth-Trunk0,20/06/2015 17:35:00 UTC+06:00,5 Min,380.0M,1.22G,9.50,30.54
CR07_BSS_NE40E_X8_B/Eth-Trunk0,20/06/2015 17:40:00 UTC+06:00,5 Min,389.0M,1.25G,9.72,31.26
CR07_BSS_NE40E_X8_B/Eth-Trunk0,20/06/2015 17:45:00 UTC+06:00,5 Min,405.0M,1.32G,10.13,32.96
CR07_BSS_NE40E_X8_B/Eth-Trunk0,20/06/2015 17:50:00 UTC+06:00,5 Min,409.0M,1.36G,10.21,33.95
CR07_BSS_NE40E_X8_B/Eth-Trunk0,20/06/2015 17:55:00 UTC+06:00,5 Min,409.0M,1.35G,10.23,33.84
CR07_BSS_NE40E_X8_B/Eth-Trunk0,20/06/2015 18:00:00 UTC+06:00,5 Min,410.0M,1.36G,10.25,33.99
CR07_BSS_NE40E_X8_B/Eth-Trunk0,20/06/2015 18:05:00 UTC+06:00,5 Min,411.0M,1.4G,10.29,34.88
CR07_BSS_NE40E_X8_B/Eth-Trunk0,20/06/2015 18:10:00 UTC+06:00,5 Min,414.0M,1.42G,10.36,35.61
CR07_BSS_NE40E_X8_B/Eth-Trunk0,20/06/2015 18:15:00 UTC+06:00,5 Min,412.0M,1.37G,10.29,34.21
CR07_BSS_NE40E_X8_B/Eth-Trunk0,20/06/2015 18:20:00 UTC+06:00,5 Min,408.0M,1.33G,10.19,33.21
CR07_BSS_NE40E_X8_B/Eth-Trunk0,20/06/2015 18:25:00 UTC+06:00,5 Min,392.0M,1.28G,9.80,32.03
CR07_BSS_NE40E_X8_B/Eth-Trunk0,20/06/2015 18:30:00 UTC+06:00,5 Min,381.0M,1.26G,9.54,31.44
CR07_BSS_NE40E_X8_B/Eth-Trunk0,20/06/2015 18:35:00 UTC+06:00,5 Min,358.0M,1.24G,8.96,31.04
CR07_BSS_NE40E_X8_B/Eth-Trunk0,20/06/2015 18:40:00 UTC+06:00,5 Min,334.0M,1.14G,8.35,28.41
CR07_BSS_NE40E_X8_B/Eth-Trunk0,20/06/2015 18:45:00 UTC+06:00,5 Min,298.0M,996.0M,7.44,24.89
CR07_BSS_NE40E_X8_B/Eth-Trunk0,20/06/2015 18:50:00 UTC+06:00,5 Min,245.0M,820.0M,6.13,20.51
CR07_BSS_NE40E_X8_B/Eth-Trunk0,20/06/2015 18:55:00 UTC+06:00,5 Min,157.0M,518.0M,3.91,12.94
CR07_BSS_NE40E_X8_B/Eth-Trunk0,20/06/2015 19:00:00 UTC+06:00,5 Min,105.0M,336.0M,2.64,8.39
CR07_BSS_NE40E_X8_B/Eth-Trunk0,20/06/2015 19:05:00 UTC+06:00,5 Min,119.0M,389.0M,2.98,9.72
CR07_BSS_NE40E_X8_B/Eth-Trunk0,20/06/2015 19:10:00 UTC+06:00,5 Min,152.0M,523.0M,3.81,13.06
CR07_BSS_NE40E_X8_B/Eth-Trunk0,20/06/2015 19:15:00 UTC+06:00,5 Min,202.0M,699.0M,5.05,17.47
CR07_BSS_NE40E_X8_B/Eth-Trunk0,20/06/2015 19:20:00 UTC+06:00,5 Min,273.0M,946.0M,6.83,23.64
CR07_BSS_NE40E_X8_B/Eth-Trunk0,20/06/2015 19:25:00 UTC+06:00,5 Min,372.0M,1.2G,9.31,30.08
CR07_BSS_NE40E_X8_B/Eth-Trunk0,20/06/2015 19:30:00 UTC+06:00,5 Min,482.0M,1.44G,12.06,35.97
CR07_BSS_NE40E_X8_B/Eth-Trunk0,20/06/2015 19:35:00 UTC+06:00,5 Min,556.0M,1.6G,13.91,39.99
CR07_BSS_NE40E_X8_B/Eth-Trunk0,20/06/2015 19:40:00 UTC+06:00,5 Min,601.0M,1.74G,15.03,43.42
CR07_BSS_NE40E_X8_B/Eth-Trunk0,20/06/2015 19:45:00 UTC+06:00,5 Min,631.0M,1.82G,15.77,45.53
CR07_BSS_NE40E_X8_B/Eth-Trunk0,20/06/2015 19:50:00 UTC+06:00,5 Min,660.0M,1.91G,16.49,47.72
CR07_BSS_NE40E_X8_B/Eth-Trunk0,20/06/2015 19:55:00 UTC+06:00,5 Min,659.0M,1.93G,16.47,48.34
CR07_BSS_NE40E_X8_B/Eth-Trunk0,20/06/2015 20:00:00 UTC+06:00,5 Min,670.0M,1.9G,16.75,47.61
CR07_BSS_NE40E_X8_B/Eth-Trunk0,20/06/2015 20:05:00 UTC+06:00,5 Min,678.0M,1.91G,16.95,47.70
CR07_BSS_NE40E_X8_B/Eth-Trunk0,20/06/2015 20:10:00 UTC+06:00,5 Min,672.0M,1.9G,16.80,47.40
CR07_BSS_NE40E_X8_B/Eth-Trunk0,20/06/2015 20:15:00 UTC+06:00,5 Min,666.0M,1.86G,16.64,46.61
CR07_BSS_NE40E_X8_B/Eth-Trunk0,20/06/2015 20:20:00 UTC+06:00,5 Min,641.0M,1.84G,16.03,46.05
CR07_BSS_NE40E_X8_B/Eth-Trunk0,20/06/2015 20:25:00 UTC+06:00,5 Min,608.0M,1.79G,15.20,44.69
CR07_BSS_NE40E_X8_B/Eth-Trunk0,20/06/2015 20:30:00 UTC+06:00,5 Min,582.0M,1.71G,14.55,42.87
CR07_BSS_NE40E_X8_B/Eth-Trunk0,20/06/2015 20:35:00 UTC+06:00,5 Min,558.0M,1.71G,13.96,42.79
CR07_BSS_NE40E_X8_B/Eth-Trunk0,20/06/2015 20:40:00 UTC+06:00,5 Min,530.0M,1.64G,13.25,40.94
CR07_BSS_NE40E_X8_B/Eth-Trunk0,20/06/2015 20:45:00 UTC+06:00,5 Min,504.0M,1.63G,12.61,40.70
CR07_BSS_NE40E_X8_B/Eth-Trunk0,20/06/2015 20:50:00 UTC+06:00,5 Min,485.0M,1.59G,12.13,39.84
CR07_BSS_NE40E_X8_B/Eth-Trunk0,20/06/2015 20:55:00 UTC+06:00,5 Min,475.0M,1.56G,11.87,39.06
CR07_BSS_NE40E_X8_B/Eth-Trunk0,20/06/2015 21:00:00 UTC+06:00,5 Min,461.0M,1.54G,11.51,38.60
CR07_BSS_NE40E_X8_B/Eth-Trunk0,20/06/2015 21:05:00 UTC+06:00,5 Min,456.0M,1.54G,11.39,38.53
CR07_BSS_NE40E_X8_B/Eth-Trunk0,20/06/2015 21:10:00 UTC+06:00,5 Min,449.0M,1.51G,11.21,37.85
CR07_BSS_NE40E_X8_B/Eth-Trunk0,20/06/2015 21:15:00 UTC+06:00,5 Min,447.0M,1.56G,11.18,39.12
CR07_BSS_NE40E_X8_B/Eth-Trunk0,20/06/2015 21:20:00 UTC+06:00,5 Min,446.0M,1.53G,11.15,38.16
CR07_BSS_NE40E_X8_B/Eth-Trunk0,20/06/2015 21:25:00 UTC+06:00,5 Min,449.0M,1.55G,11.23,38.81
CR07_BSS_NE40E_X8_B/Eth-Trunk0,20/06/2015 21:30:00 UTC+06:00,5 Min,453.0M,1.58G,11.32,39.51
CR07_BSS_NE40E_X8_B/Eth-Trunk0,20/06/2015 21:35:00 UTC+06:00,5 Min,455.0M,1.6G,11.39,40.10
CR07_BSS_NE40E_X8_B/Eth-Trunk0,20/06/2015 21:40:00 UTC+06:00,5 Min,457.0M,1.59G,11.42,39.84
CR07_BSS_NE40E_X8_B/Eth-Trunk0,20/06/2015 21:45:00 UTC+06:00,5 Min,454.0M,1.59G,11.36,39.71
CR07_BSS_NE40E_X8_B/Eth-Trunk0,20/06/2015 21:50:00 UTC+06:00,5 Min,456.0M,1.57G,11.39,39.13
CR07_BSS_NE40E_X8_B/Eth-Trunk0,20/06/2015 21:55:00 UTC+06:00,5 Min,460.0M,1.54G,11.49,38.58
CR07_BSS_NE40E_X8_B/Eth-Trunk0,20/06/2015 22:00:00 UTC+06:00,5 Min,464.0M,1.55G,11.61,38.72
CR07_BSS_NE40E_X8_B/Eth-Trunk0,20/06/2015 22:05:00 UTC+06:00,5 Min,471.0M,1.56G,11.78,38.97
CR07_BSS_NE40E_X8_B/Eth-Trunk0,20/06/2015 22:10:00 UTC+06:00,5 Min,476.0M,1.61G,11.90,40.31
CR07_BSS_NE40E_X8_B/Eth-Trunk0,20/06/2015 22:15:00 UTC+06:00,5 Min,488.0M,1.63G,12.20,40.78
CR07_BSS_NE40E_X8_B/Eth-Trunk0,20/06/2015 22:20:00 UTC+06:00,5 Min,500.0M,1.67G,12.49,41.83
CR07_BSS_NE40E_X8_B/Eth-Trunk0,20/06/2015 22:25:00 UTC+06:00,5 Min,506.0M,1.68G,12.65,42.00
CR07_BSS_NE40E_X8_B/Eth-Trunk0,20/06/2015 22:30:00 UTC+06:00,5 Min,513.0M,1.72G,12.81,43.11
CR07_BSS_NE40E_X8_B/Eth-Trunk0,20/06/2015 22:35:00 UTC+06:00,5 Min,514.0M,1.75G,12.84,43.76
CR07_BSS_NE40E_X8_B/Eth-Trunk0,20/06/2015 22:40:00 UTC+06:00,5 Min,519.0M,1.76G,12.98,43.95
CR07_BSS_NE40E_X8_B/Eth-Trunk0,20/06/2015 22:45:00 UTC+06:00,5 Min,516.0M,1.79G,12.91,44.69
CR07_BSS_NE40E_X8_B/Eth-Trunk0,20/06/2015 22:50:00 UTC+06:00,5 Min,509.0M,1.81G,12.72,45.19
CR07_BSS_NE40E_X8_B/Eth-Trunk0,20/06/2015 22:55:00 UTC+06:00,5 Min,507.0M,1.81G,12.66,45.33
CR07_BSS_NE40E_X8_B/Eth-Trunk0,20/06/2015 23:00:00 UTC+06:00,5 Min,496.0M,1.85G,12.41,46.33
CR07_BSS_NE40E_X8_B/Eth-Trunk0,20/06/2015 23:05:00 UTC+06:00,5 Min,492.0M,1.87G,12.29,46.86
CR07_BSS_NE40E_X8_B/Eth-Trunk0,20/06/2015 23:10:00 UTC+06:00,5 Min,483.0M,1.83G,12.08,45.71
CR07_BSS_NE40E_X8_B/Eth-Trunk0,20/06/2015 23:15:00 UTC+06:00,5 Min,484.0M,1.87G,12.10,46.80
CR07_BSS_NE40E_X8_B/Eth-Trunk0,20/06/2015 23:20:00 UTC+06:00,5 Min,479.0M,1.85G,11.97,46.22
CR07_BSS_NE40E_X8_B/Eth-Trunk0,20/06/2015 23:25:00 UTC+06:00,5 Min,474.0M,1.88G,11.84,47.03
CR07_BSS_NE40E_X8_B/Eth-Trunk0,20/06/2015 23:30:00 UTC+06:00,5 Min,465.0M,1.9G,11.63,47.51
CR07_BSS_NE40E_X8_B/Eth-Trunk0,20/06/2015 23:35:00 UTC+06:00,5 Min,450.0M,1.86G,11.24,46.55
CR07_BSS_NE40E_X8_B/Eth-Trunk0,20/06/2015 23:40:00 UTC+06:00,5 Min,430.0M,1.89G,10.75,47.16
CR07_BSS_NE40E_X8_B/Eth-Trunk0,20/06/2015 23:45:00 UTC+06:00,5 Min,420.0M,1.88G,10.50,47.03
CR07_BSS_NE40E_X8_B/Eth-Trunk0,20/06/2015 23:50:00 UTC+06:00,5 Min,406.0M,1.84G,10.16,46.12
CR07_BSS_NE40E_X8_B/Eth-Trunk0,20/06/2015 23:55:00 UTC+06:00,5 Min,389.0M,1.81G,9.73,45.18
CR07_BSS_NE40E_X8_B/Eth-Trunk0,21/06/2015 00:00:00 UTC+06:00,5 Min,376.0M,1.77G,9.41,44.21
