""

"Save Time: 21/06/2015 10:23:23"
"User Name:omcuser"


" "

"Total 288 Records"

"Resource Name","Collection Time","Granularity ","Inbound Rate(bit/s)","Outbound Rate(bit/s)","Inbound Bandwidth Utilization(%)","Outbound Bandwidth Utilization(%)","Max Rate(bit/s)","Max Bandwidth Utilization(%)","Inbound Discarded Packet(packet)","Outbound Discarded Packet(packet)","Bandwidth(bit/s)","Interface Availability(%)"
MM01-C-CE-RT-1-A/Eth-Trunk0,20/06/2015 16:35:00 UTC+06:00,5 Min,456.0M,388.0M,11.40,9.70,456.0M,9.70,0,0,4.0G,100.00
MM01-C-CE-RT-1-A/Eth-Trunk0,20/06/2015 16:40:00 UTC+06:00,5 Min,477.0M,397.0M,11.93,9.93,477.0M,9.93,0,0,4.0G,100.00
MM01-C-CE-RT-1-A/Eth-Trunk0,20/06/2015 16:45:00 UTC+06:00,5 Min,490.0M,421.0M,12.26,10.52,490.0M,10.52,0,0,4.0G,100.00
MM01-C-CE-RT-1-A/Eth-Trunk0,20/06/2015 16:50:00 UTC+06:00,5 Min,474.0M,394.0M,11.86,9.84,474.0M,9.84,0,0,4.0G,100.00
MM01-C-CE-RT-1-A/Eth-Trunk0,20/06/2015 16:55:00 UTC+06:00,5 Min,460.0M,390.0M,11.49,9.76,460.0M,9.76,0,0,4.0G,100.00
MM01-C-CE-RT-1-A/Eth-Trunk0,20/06/2015 17:00:00 UTC+06:00,5 Min,444.0M,386.0M,11.10,9.64,444.0M,9.64,0,0,4.0G,100.00
MM01-C-CE-RT-1-A/Eth-Trunk0,20/06/2015 17:05:00 UTC+06:00,5 Min,409.0M,351.0M,10.23,8.77,409.0M,8.77,0,0,4.0G,100.00
MM01-C-CE-RT-1-A/Eth-Trunk0,20/06/2015 17:10:00 UTC+06:00,5 Min,396.0M,338.0M,9.90,8.45,396.0M,8.45,0,0,4.0G,100.00
MM01-C-CE-RT-1-A/Eth-Trunk0,20/06/2015 17:15:00 UTC+06:00,5 Min,368.0M,307.0M,9.21,7.67,368.0M,7.67,0,0,4.0G,100.00
MM01-C-CE-RT-1-A/Eth-Trunk0,20/06/2015 17:20:00 UTC+06:00,5 Min,364.0M,308.0M,9.09,7.69,364.0M,7.69,0,0,4.0G,100.00
MM01-C-CE-RT-1-A/Eth-Trunk0,20/06/2015 17:25:00 UTC+06:00,5 Min,366.0M,308.0M,9.14,7.70,366.0M,7.70,0,0,4.0G,100.00
MM01-C-CE-RT-1-A/Eth-Trunk0,20/06/2015 17:30:00 UTC+06:00,5 Min,386.0M,319.0M,9.64,7.98,386.0M,7.98,0,0,4.0G,100.00
MM01-C-CE-RT-1-A/Eth-Trunk0,20/06/2015 17:35:00 UTC+06:00,5 Min,420.0M,342.0M,10.49,8.56,420.0M,8.56,0,0,4.0G,100.00
MM01-C-CE-RT-1-A/Eth-Trunk0,20/06/2015 17:40:00 UTC+06:00,5 Min,432.0M,359.0M,10.81,8.99,432.0M,8.99,0,0,4.0G,100.00
